order_id,customer_id,order_date,status,updated_date
1001,1,2026-09-17,completed,2026-09-17 18:00:00
1002,2,2026-09-17,Complete,2026-09-17 19:20:00
1003,99,2026-09-17,completed,2026-09-17 10:00:00
1004,3,2099-01-01,pending,2026-09-17 08:00:00
1005,4,2026-09-17,COMPLETED,2026-09-17 14:30:00
1006,5,2026-09-17,pending,2026-09-17 11:00:00
1007,6,2026-09-17,shiped,2026-09-17 09:15:00
1008,7,2026/09/17,completed,2026-09-17 20:45:00
1009,8,2026-09-17,Cancelled,2026-09-17 16:00:00
1010,10,2026-09-17,PENDING,2026-09-17 08:50:00
1011,1,2026-09-17,completed,2026-09-17 17:10:00
1012,12,2026-09-17,,2026-09-17 13:40:00
1013,14,2026-09-17,shipped,2026-09-17 10:00:00
1014,15,2026-09-17,completed,2026-09-17 19:25:00
1015,3,2026-09-17,Processing,2026-09-17 11:35:00
1016,11,2026-09-17,done,2026-09-17 15:00:00
1017,4,2026-09-17,pending,2026-09-17 09:20:00
1018,9,2026-09-17,completed,2026-09-17 12:30:00
